source,target,value
 Warminsko-mazurskie,Podlaskie,1129
 Slaskie,Swietokrzyskie,156
 Lubelskie,Podkarpackie,981
 Maopolskie,Lubuskie,24
 Wielkopolskie,Podlaskie,54
 Opolskie,Warminsko-mazurskie,0
 Wielkopolskie,Pomorskie,509
 Kujawsko-pomorskie,Wielkopolskie,4433
 odzkie,odzkie,136635
 odzkie,Wielkopolskie,3585
 Lubelskie,Swietokrzyskie,229
 Wielkopolskie,Opolskie,109
 Swietokrzyskie,Slaskie,827
 Wielkopolskie,Warminsko-mazurskie,359
 Kujawsko-pomorskie,Warminsko-mazurskie,195
 Mazowieckie,Warminsko-mazurskie,590
 Mazowieckie,Swietokrzyskie,2670
 Maopolskie,Warminsko-mazurskie,15
 Lubelskie,Dolnoslaskie,381
 Swietokrzyskie,Lubelskie,251
 Zachodniopomorskie,Lubelskie,72
 Podkarpackie,odzkie,179
 Kujawsko-pomorskie,Pomorskie,2454
 odzkie,Dolnoslaskie,1059
 Lubuskie,odzkie,417
 Lubelskie,Kujawsko-pomorskie,415
 odzkie,Kujawsko-pomorskie,834
 Podlaskie,Opolskie,11
 odzkie,Pomorskie,444
 Swietokrzyskie,Opolskie,0
 Mazowieckie,Slaskie,1363
 Podkarpackie,Opolskie,10
 Podkarpackie,Kujawsko-pomorskie,193
 Podlaskie,Lubuskie,10
 Dolnoslaskie,Wielkopolskie,3338
 Slaskie,Lubelskie,181
 Dolnoslaskie,Mazowieckie,9115
 Slaskie,Podlaskie,210
 Dolnoslaskie,Lubuskie,866
 Lubelskie,Maopolskie,1332
 Podkarpackie,Warminsko-mazurskie,0
 Dolnoslaskie,Swietokrzyskie,110
 Wielkopolskie,Lubuskie,1908
 Mazowieckie,Dolnoslaskie,1557
 Podlaskie,Zachodniopomorskie,14
 Pomorskie,Zachodniopomorskie,1652
 Podlaskie,Kujawsko-pomorskie,89
 Lubuskie,Lubelskie,0
 Wielkopolskie,Wielkopolskie,296669
 Slaskie,Podkarpackie,184
 Mazowieckie,Podlaskie,825
 Pomorskie,Swietokrzyskie,116
 Podlaskie,Swietokrzyskie,44
 odzkie,Lubuskie,0
 Swietokrzyskie,Lubuskie,0
 Opolskie,Wielkopolskie,762
 Mazowieckie,Maopolskie,1914
 Swietokrzyskie,Wielkopolskie,194
